               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10531,            0.069771,            0.043205,             0.77063,            0.021597,           0.0094688,           0.0022656,            0.089455,            0.033266,             0.03563,             0.07016,           0.0033156,           0.0033156
                   1,            0.082381,            0.081331,            0.032848,             0.81663,            0.052632,            0.047202,            0.015925,            0.071499,            0.032718,            0.028127,            0.040138,            0.006627,            0.006627
                   2,            0.075919,            0.084661,             0.03051,             0.80583,            0.070724,            0.055301,            0.020911,            0.067238,            0.030081,            0.027007,            0.010094,           0.0099164,           0.0099164
                   3,            0.070576,             0.08077,            0.029374,             0.83406,            0.090461,            0.085162,            0.023589,            0.064353,            0.029254,            0.025655,            0.009901,            0.009901,            0.009901
                   4,            0.066403,            0.079343,            0.028749,             0.62177,             0.16494,             0.13257,            0.048007,            0.057467,            0.028674,            0.024802,            0.009901,            0.009901,            0.009901
                   5,            0.063242,            0.081453,            0.027817,             0.68112,             0.18327,             0.15783,            0.054729,            0.058078,            0.028279,            0.022117,            0.009868,            0.009868,            0.009868
                   6,            0.062648,             0.08071,            0.026527,             0.62506,             0.12174,             0.10524,            0.033497,            0.059554,            0.029045,            0.021985,            0.009835,            0.009835,            0.009835
                   7,            0.061934,            0.080936,            0.025152,             0.48813,             0.16659,             0.18745,            0.071283,            0.057109,             0.02829,            0.019686,            0.009802,            0.009802,            0.009802
                   8,            0.059869,            0.080808,            0.024262,             0.45324,             0.18308,             0.21124,            0.090283,            0.056548,            0.027758,            0.018884,            0.009769,            0.009769,            0.009769
                   9,             0.05996,            0.080022,            0.023768,             0.50097,             0.15691,             0.19938,            0.066647,              0.0567,            0.028083,            0.018101,            0.009736,            0.009736,            0.009736
                  10,             0.05884,            0.077551,            0.023473,             0.50236,             0.21778,             0.23026,            0.087687,             0.05451,            0.027245,            0.017413,            0.009703,            0.009703,            0.009703
                  11,            0.058164,            0.077901,             0.02228,             0.45743,             0.29758,              0.2499,             0.10306,            0.054195,            0.027073,            0.016682,             0.00967,             0.00967,             0.00967
                  12,            0.058238,            0.079628,            0.021702,             0.84725,             0.18069,             0.23626,            0.081081,             0.05592,            0.027027,            0.015934,            0.009637,            0.009637,            0.009637
                  13,             0.05798,            0.077246,            0.021486,             0.55064,             0.20583,             0.25934,            0.097257,            0.053071,            0.027303,            0.017281,            0.009604,            0.009604,            0.009604
                  14,            0.057327,             0.08038,            0.021317,             0.54326,             0.23954,             0.24005,            0.099522,            0.053635,            0.027435,            0.015835,            0.009571,            0.009571,            0.009571
                  15,            0.056863,            0.081496,            0.018781,             0.60402,              0.2043,             0.24411,            0.095681,            0.056598,            0.028239,            0.015992,            0.009538,            0.009538,            0.009538
                  16,            0.055825,            0.077629,            0.019745,             0.65394,             0.22114,             0.27409,             0.11495,            0.054228,            0.027135,             0.01573,            0.009505,            0.009505,            0.009505
                  17,            0.055453,            0.078888,            0.018359,             0.59462,              0.2305,             0.26363,             0.10898,             0.05396,            0.026934,            0.015743,            0.009472,            0.009472,            0.009472
                  18,            0.055704,            0.077824,            0.018103,              0.5319,             0.27714,             0.26916,            0.097819,             0.05427,            0.026921,            0.016531,            0.009439,            0.009439,            0.009439
                  19,            0.055723,            0.077122,            0.018307,              0.4783,             0.31215,             0.23226,            0.082857,            0.055435,            0.026876,            0.018438,            0.009406,            0.009406,            0.009406
                  20,            0.054924,            0.078801,            0.017889,             0.65081,             0.26175,             0.29066,            0.098481,            0.053233,            0.026824,            0.015103,            0.009373,            0.009373,            0.009373
                  21,            0.054143,              0.0749,             0.01821,             0.56199,              0.3129,             0.30923,             0.12094,            0.051553,            0.027372,            0.014824,             0.00934,             0.00934,             0.00934
                  22,             0.05476,            0.075426,            0.017571,             0.57309,             0.26584,             0.27451,             0.10516,            0.052239,            0.027444,            0.014018,            0.009307,            0.009307,            0.009307
                  23,            0.055157,            0.079719,            0.016778,             0.62598,             0.21602,             0.29469,             0.11146,            0.053602,            0.027543,            0.013093,            0.009274,            0.009274,            0.009274
                  24,            0.053275,            0.074877,            0.018295,             0.67045,             0.25314,             0.33356,             0.10585,            0.052858,             0.02668,            0.013254,            0.009241,            0.009241,            0.009241
                  25,            0.054078,            0.074358,            0.016406,             0.63013,             0.23203,             0.31901,             0.13883,            0.051996,            0.026507,            0.013594,            0.009208,            0.009208,            0.009208
                  26,            0.053854,            0.080371,            0.016529,             0.50274,             0.36748,             0.30132,             0.10798,            0.053276,            0.027249,            0.015033,            0.009175,            0.009175,            0.009175
                  27,             0.05365,             0.07654,            0.016431,             0.55772,             0.33188,             0.33119,             0.12417,            0.053305,            0.026274,            0.013676,            0.009142,            0.009142,            0.009142
                  28,            0.053161,            0.073463,             0.01655,             0.54636,             0.34581,             0.35351,             0.14505,            0.052416,            0.026462,            0.012687,            0.009109,            0.009109,            0.009109
                  29,            0.053355,            0.077143,            0.017301,             0.50824,             0.35929,             0.33108,             0.12877,            0.052126,            0.026121,            0.012818,            0.009076,            0.009076,            0.009076
                  30,            0.052801,            0.075624,            0.015356,             0.63734,             0.27955,             0.35337,             0.15131,            0.051578,            0.025861,            0.012275,            0.009043,            0.009043,            0.009043
                  31,            0.052719,            0.076813,            0.016063,             0.37665,             0.41717,             0.38501,             0.15058,            0.051963,             0.02587,            0.012311,             0.00901,             0.00901,             0.00901
                  32,            0.053341,            0.076098,            0.015351,             0.53327,             0.41219,              0.3972,             0.13834,            0.052953,            0.026156,            0.011917,            0.008977,            0.008977,            0.008977
                  33,            0.052919,            0.072636,            0.015723,             0.49612,             0.36413,             0.37159,              0.1447,            0.052033,            0.025095,            0.013145,            0.008944,            0.008944,            0.008944
                  34,            0.052028,            0.073051,            0.014764,             0.33818,             0.41129,             0.36503,             0.13397,            0.051227,            0.025632,            0.012947,            0.008911,            0.008911,            0.008911
                  35,            0.052358,            0.072571,            0.014649,             0.74916,             0.33294,             0.43467,             0.19439,            0.051779,            0.025143,            0.011496,            0.008878,            0.008878,            0.008878
                  36,            0.051819,            0.075772,            0.015214,             0.40527,             0.39326,             0.36136,             0.12961,            0.051778,            0.025736,            0.012263,            0.008845,            0.008845,            0.008845
                  37,            0.052935,            0.075352,            0.013961,             0.64126,             0.30312,             0.36967,             0.16163,            0.050458,            0.025378,            0.012297,            0.008812,            0.008812,            0.008812
                  38,            0.051762,            0.076285,            0.014657,              0.4192,             0.39585,             0.35448,             0.14212,            0.050783,            0.025709,            0.012007,            0.008779,            0.008779,            0.008779
                  39,            0.051373,            0.072198,            0.014871,             0.32383,              0.4537,             0.37976,             0.14885,             0.05051,            0.025738,             0.01189,            0.008746,            0.008746,            0.008746
                  40,            0.051654,            0.074744,            0.014681,              0.4377,             0.43426,             0.37905,             0.16289,            0.051208,            0.025275,            0.011594,            0.008713,            0.008713,            0.008713
                  41,            0.051479,            0.069282,            0.013864,             0.68642,              0.3468,             0.41245,             0.17598,            0.051212,            0.025262,            0.011348,             0.00868,             0.00868,             0.00868
                  42,            0.051654,            0.071902,             0.01354,             0.41526,              0.3663,             0.33114,             0.13845,            0.051258,            0.024999,            0.011625,            0.008647,            0.008647,            0.008647
                  43,            0.051692,            0.074685,            0.014112,              0.5004,             0.34192,             0.37146,             0.13411,            0.052012,            0.025683,            0.011378,            0.008614,            0.008614,            0.008614
                  44,            0.051292,            0.071426,            0.013774,             0.61869,             0.37743,              0.3931,             0.16878,            0.050515,            0.025673,            0.010967,            0.008581,            0.008581,            0.008581
                  45,            0.051405,            0.070121,            0.013759,              0.3976,             0.35379,             0.36333,             0.15846,            0.050793,            0.026056,            0.010269,            0.008548,            0.008548,            0.008548
                  46,            0.050766,            0.074889,            0.013076,              0.5277,             0.37455,             0.39529,             0.17513,            0.049632,            0.025447,            0.011037,            0.008515,            0.008515,            0.008515
                  47,            0.049885,            0.071981,            0.013262,             0.47006,             0.36153,              0.3971,             0.16331,            0.050725,            0.025152,            0.010112,            0.008482,            0.008482,            0.008482
                  48,            0.050844,            0.073745,            0.012825,              0.4457,             0.37029,             0.39329,             0.16412,            0.049665,            0.025154,           0.0099393,            0.008449,            0.008449,            0.008449
                  49,            0.049919,            0.072038,            0.012808,             0.57567,              0.3858,              0.4136,             0.17201,            0.049778,            0.025058,           0.0099413,            0.008416,            0.008416,            0.008416
                  50,            0.049642,             0.07032,            0.013384,              0.5264,             0.32764,             0.41169,             0.16725,            0.050186,            0.024947,            0.010381,            0.008383,            0.008383,            0.008383
                  51,            0.050566,            0.072814,            0.012156,             0.44474,             0.42104,             0.40807,             0.16266,            0.049458,            0.025365,           0.0096457,             0.00835,             0.00835,             0.00835
                  52,            0.049835,            0.069604,             0.01233,             0.35629,             0.38116,             0.35272,             0.13654,            0.050183,            0.025209,            0.010322,            0.008317,            0.008317,            0.008317
                  53,            0.049911,            0.071496,            0.012104,             0.42261,             0.42339,             0.39233,             0.17139,            0.049978,            0.024981,           0.0092496,            0.008284,            0.008284,            0.008284
                  54,            0.050077,            0.070822,            0.011359,             0.54333,             0.38311,             0.43259,             0.16972,            0.052124,            0.024799,           0.0095213,            0.008251,            0.008251,            0.008251
                  55,            0.050322,            0.071387,            0.012347,             0.56384,             0.36589,             0.40474,             0.17932,            0.050499,            0.024605,            0.010415,            0.008218,            0.008218,            0.008218
                  56,            0.049431,            0.071867,             0.01171,             0.45319,             0.40056,             0.40375,             0.16472,            0.050457,            0.025004,            0.010849,            0.008185,            0.008185,            0.008185
                  57,            0.049503,            0.069605,            0.011894,             0.65599,             0.33375,             0.39945,              0.1511,            0.050695,            0.025288,           0.0098664,            0.008152,            0.008152,            0.008152
                  58,            0.048892,             0.06754,            0.012075,                0.46,             0.40798,              0.4175,             0.15918,            0.049732,             0.02554,            0.010448,            0.008119,            0.008119,            0.008119
                  59,            0.049394,            0.072487,            0.011711,             0.38454,             0.42903,             0.37285,             0.15246,             0.04999,            0.025288,            0.011554,            0.008086,            0.008086,            0.008086
                  60,            0.048078,             0.06991,            0.011491,             0.38224,             0.41599,             0.36405,             0.16509,            0.049738,            0.025356,           0.0096838,            0.008053,            0.008053,            0.008053
                  61,            0.049275,            0.074521,            0.010673,             0.41205,             0.35641,             0.36731,             0.16584,            0.049105,            0.025671,            0.010556,             0.00802,             0.00802,             0.00802
                  62,            0.049057,            0.072543,            0.011315,              0.4519,              0.3013,             0.37017,             0.16802,            0.050576,            0.026021,             0.01104,            0.007987,            0.007987,            0.007987
                  63,            0.049102,             0.06968,            0.011506,             0.41508,             0.39009,              0.3836,             0.17473,             0.04904,            0.025225,            0.009859,            0.007954,            0.007954,            0.007954
                  64,            0.048866,            0.071682,            0.010733,             0.51931,             0.34817,             0.37172,             0.17277,            0.048942,            0.025447,            0.011257,            0.007921,            0.007921,            0.007921
                  65,            0.048995,            0.072933,            0.010662,             0.42925,             0.35418,             0.37875,             0.16657,            0.049186,            0.025834,            0.011307,            0.007888,            0.007888,            0.007888
                  66,            0.048822,            0.068785,            0.010701,             0.52718,             0.36207,             0.37729,             0.17835,            0.048964,            0.025268,            0.011819,            0.007855,            0.007855,            0.007855
                  67,            0.049132,            0.069837,            0.011034,             0.62053,             0.37107,             0.41514,              0.1714,             0.04958,            0.026095,           0.0099103,            0.007822,            0.007822,            0.007822
                  68,            0.047879,            0.070892,            0.010817,             0.51341,             0.33108,             0.39406,             0.18146,            0.050111,            0.025747,            0.010305,            0.007789,            0.007789,            0.007789
                  69,            0.048233,            0.068947,            0.010547,             0.60326,             0.34334,             0.41697,             0.20271,              0.0488,            0.024958,           0.0099885,            0.007756,            0.007756,            0.007756
                  70,            0.048092,            0.070214,            0.010685,             0.46457,             0.43392,             0.41292,             0.17366,            0.049447,            0.025067,            0.011429,            0.007723,            0.007723,            0.007723
                  71,            0.048047,            0.067666,             0.01065,             0.47145,             0.34261,             0.40077,             0.18246,            0.049289,            0.026066,            0.010686,             0.00769,             0.00769,             0.00769
                  72,            0.048088,            0.068549,            0.010117,             0.53903,             0.33969,              0.4062,             0.16741,            0.049337,             0.02505,            0.011043,            0.007657,            0.007657,            0.007657
                  73,            0.047639,            0.071868,            0.010199,             0.46047,             0.40354,              0.4236,             0.17437,            0.050044,             0.02511,           0.0086923,            0.007624,            0.007624,            0.007624
                  74,            0.048172,            0.069315,            0.010413,             0.45176,               0.446,             0.44173,             0.18897,            0.049038,            0.024582,            0.008572,            0.007591,            0.007591,            0.007591
                  75,            0.048703,            0.072057,           0.0098942,             0.58698,             0.41111,             0.44809,             0.19316,            0.049292,            0.025086,           0.0091004,            0.007558,            0.007558,            0.007558
